  Title : 6-trpl-0,96uw-20s-n1
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-22
  Time : 21:54:02
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
0.000000 ,    0
0.004072 ,    0
0.008143 ,    0
0.012215 ,    0
0.016287 ,    0
0.020359 ,    0
0.024430 ,    0
0.028502 ,    0
0.032574 ,    0
0.036646 ,    0
0.040717 ,    0
0.044789 ,    0
0.048861 ,    0
0.052933 ,    0
0.057004 ,    0
0.061076 ,    0
0.065148 ,    0
0.069220 ,    0
0.073291 ,    0
0.077363 ,    0
0.081435 ,    0
0.085507 ,    0
0.089578 ,    0
0.093650 ,    0
0.097722 ,    0
0.101794 ,    0
0.105865 ,    0
0.109937 ,    0
0.114009 ,    0
0.118081 ,    0
0.122152 ,    0
0.126224 ,    0
0.130296 ,    0
0.134368 ,    0
0.138439 ,    0
0.142511 ,    0
0.146583 ,    0
0.150654 ,    0
0.154726 ,    0
0.158798 ,    0
0.162870 ,    0
0.166941 ,    0
0.171013 ,    0
0.175085 ,    0
0.179157 ,    0
0.183228 ,    0
0.187300 ,    0
0.191372 ,    0
0.195444 ,    0
0.199515 ,    0
0.203587 ,    0
0.207659 ,    0
0.211731 ,    0
0.215802 ,    0
0.219874 ,    0
0.223946 ,    0
0.228018 ,    0
0.232089 ,    0
0.236161 ,    0
0.240233 ,    0
0.244305 ,    0
0.248376 ,    0
0.252448 ,    0
0.256520 ,    0
0.260592 ,    0
0.264663 ,    0
0.268735 ,    0
0.272807 ,    0
0.276879 ,    0
0.280950 ,    0
0.285022 ,    0
0.289094 ,    0
0.293165 ,    0
0.297237 ,    0
0.301309 ,    0
0.305381 ,    0
0.309452 ,    0
0.313524 ,    0
0.317596 ,    0
0.321668 ,    0
0.325739 ,    0
0.329811 ,    0
0.333883 ,    0
0.337955 ,    0
0.342026 ,    0
0.346098 ,    0
0.350170 ,    0
0.354242 ,    0
0.358313 ,    0
0.362385 ,    0
0.366457 ,    0
0.370529 ,    0
0.374600 ,    0
0.378672 ,    0
0.382744 ,    0
0.386816 ,    0
0.390887 ,    0
0.394959 ,    0
0.399031 ,    0
0.403103 ,    0
0.407174 ,    0
0.411246 ,    0
0.415318 ,    0
0.419389 ,    0
0.423461 ,    0
0.427533 ,    0
0.431605 ,    0
0.435676 ,    0
0.439748 ,    0
0.443820 ,    0
0.447892 ,    0
0.451963 ,    0
0.456035 ,    0
0.460107 ,    0
0.464179 ,    0
0.468250 ,    0
0.472322 ,    0
0.476394 ,    0
0.480466 ,    0
0.484537 ,    0
0.488609 ,    0
0.492681 ,    0
0.496753 ,    0
0.500824 ,    0
0.504896 ,    0
0.508968 ,    0
0.513040 ,    0
0.517111 ,    0
0.521183 ,    0
0.525255 ,    0
0.529327 ,    0
0.533398 ,    0
0.537470 ,    0
0.541542 ,    0
0.545614 ,    0
0.549685 ,    0
0.553757 ,    0
0.557829 ,    0
0.561900 ,    0
0.565972 ,    0
0.570044 ,    0
0.574116 ,    0
0.578187 ,    0
0.582259 ,    0
0.586331 ,   60
0.590403 ,   41
0.594474 ,   42
0.598546 ,   57
0.602618 ,   54
0.606690 ,   51
0.610761 ,   55
0.614833 ,   50
0.618905 ,   49
0.622977 ,   57
0.627048 ,   53
0.631120 ,   47
0.635192 ,   55
0.639264 ,   52
0.643335 ,   49
0.647407 ,   58
0.651479 ,   56
0.655551 ,   47
0.659622 ,   45
0.663694 ,   45
0.667766 ,   40
0.671838 ,   57
0.675909 ,   52
0.679981 ,   51
0.684053 ,   42
0.688125 ,   52
0.692196 ,   52
0.696268 ,   51
0.700340 ,   56
0.704411 ,   35
0.708483 ,   62
0.712555 ,   50
0.716627 ,   53
0.720698 ,   42
0.724770 ,   60
0.728842 ,   51
0.732914 ,   63
0.736985 ,   55
0.741057 ,   52
0.745129 ,   48
0.749201 ,   48
0.753272 ,   53
0.757344 ,   39
0.761416 ,   46
0.765488 ,   38
0.769559 ,   38
0.773631 ,   53
0.777703 ,   37
0.781775 ,   50
0.785846 ,   49
0.789918 ,   43
0.793990 ,   42
0.798062 ,   48
0.802133 ,   59
0.806205 ,   56
0.810277 ,   53
0.814349 ,   50
0.818420 ,   72
0.822492 ,   43
0.826564 ,   59
0.830636 ,   48
0.834707 ,   62
0.838779 ,   52
0.842851 ,   47
0.846922 ,   55
0.850994 ,   36
0.855066 ,   41
0.859138 ,   46
0.863209 ,   50
0.867281 ,   52
0.871353 ,   32
0.875425 ,   53
0.879496 ,   48
0.883568 ,   64
0.887640 ,   56
0.891712 ,   53
0.895783 ,   45
0.899855 ,   47
0.903927 ,   57
0.907999 ,   43
0.912070 ,   49
0.916142 ,   46
0.920214 ,   37
0.924286 ,   62
0.928357 ,   48
0.932429 ,   52
0.936501 ,   50
0.940573 ,   46
0.944644 ,   57
0.948716 ,   49
0.952788 ,   53
0.956860 ,   45
0.960931 ,   64
0.965003 ,   49
0.969075 ,   47
0.973146 ,   43
0.977218 ,   45
0.981290 ,   45
0.985362 ,   48
0.989433 ,   54
0.993505 ,   44
0.997577 ,   44
1.001649 ,   45
1.005720 ,   43
1.009792 ,   35
1.013864 ,   34
1.017936 ,   47
1.022007 ,   37
1.026079 ,   42
1.030151 ,   47
1.034223 ,   57
1.038294 ,   39
1.042366 ,   48
1.046438 ,   55
1.050510 ,   45
1.054581 ,   44
1.058653 ,   43
1.062725 ,   48
1.066797 ,   32
1.070868 ,   44
1.074940 ,   42
1.079012 ,   47
1.083084 ,   54
1.087155 ,   52
1.091227 ,   41
1.095299 ,   53
1.099371 ,   55
1.103442 ,   45
1.107514 ,   36
1.111586 ,   45
1.115657 ,   49
1.119729 ,   54
1.123801 ,   50
1.127873 ,   46
1.131944 ,   42
1.136016 ,   47
1.140088 ,   46
1.144160 ,   50
1.148231 ,   58
1.152303 ,   53
1.156375 ,   41
1.160447 ,   40
1.164518 ,   41
1.168590 ,   44
1.172662 ,   35
1.176734 ,   47
1.180805 ,   38
1.184877 ,   39
1.188949 ,   44
1.193021 ,   49
1.197092 ,   49
1.201164 ,   34
1.205236 ,   59
1.209308 ,   55
1.213379 ,   52
1.217451 ,   51
1.221523 ,   42
1.225595 ,   40
1.229666 ,   48
1.233738 ,   42
1.237810 ,   48
1.241882 ,   40
1.245953 ,   55
1.250025 ,   52
1.254097 ,   51
1.258168 ,   45
1.262240 ,   49
1.266312 ,   56
1.270384 ,   43
1.274455 ,   49
1.278527 ,   48
1.282599 ,   43
1.286671 ,   43
1.290742 ,   56
1.294814 ,   51
1.298886 ,   52
1.302958 ,   51
1.307029 ,   45
1.311101 ,   42
1.315173 ,   67
1.319245 ,   48
1.323316 ,   47
