  Title : 6-trpl-0,96uw-20s-n2
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-22
  Time : 21:53:01
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
0.000000 ,    0
0.004072 ,    0
0.008143 ,    0
0.012215 ,    0
0.016287 ,    0
0.020359 ,    0
0.024430 ,    0
0.028502 ,    0
0.032574 ,    0
0.036646 ,    0
0.040717 ,    0
0.044789 ,    0
0.048861 ,    0
0.052933 ,    0
0.057004 ,    0
0.061076 ,    0
0.065148 ,    0
0.069220 ,    0
0.073291 ,    0
0.077363 ,    0
0.081435 ,    0
0.085507 ,    0
0.089578 ,    0
0.093650 ,    0
0.097722 ,    0
0.101794 ,    0
0.105865 ,    0
0.109937 ,    0
0.114009 ,    0
0.118081 ,    0
0.122152 ,    0
0.126224 ,    0
0.130296 ,    0
0.134368 ,    0
0.138439 ,    0
0.142511 ,    0
0.146583 ,    0
0.150654 ,    0
0.154726 ,    0
0.158798 ,    0
0.162870 ,    0
0.166941 ,    0
0.171013 ,    0
0.175085 ,    0
0.179157 ,    0
0.183228 ,    0
0.187300 ,    0
0.191372 ,    0
0.195444 ,    0
0.199515 ,    0
0.203587 ,    0
0.207659 ,    0
0.211731 ,    0
0.215802 ,    0
0.219874 ,    0
0.223946 ,    0
0.228018 ,    0
0.232089 ,    0
0.236161 ,    0
0.240233 ,    0
0.244305 ,    0
0.248376 ,    0
0.252448 ,    0
0.256520 ,    0
0.260592 ,    0
0.264663 ,    0
0.268735 ,    0
0.272807 ,    0
0.276879 ,    0
0.280950 ,    0
0.285022 ,    0
0.289094 ,    0
0.293165 ,    0
0.297237 ,    0
0.301309 ,    0
0.305381 ,    0
0.309452 ,    0
0.313524 ,    0
0.317596 ,    0
0.321668 ,    0
0.325739 ,    0
0.329811 ,    0
0.333883 ,    0
0.337955 ,    0
0.342026 ,    0
0.346098 ,    0
0.350170 ,    0
0.354242 ,    0
0.358313 ,    0
0.362385 ,    0
0.366457 ,    0
0.370529 ,    0
0.374600 ,    0
0.378672 ,    0
0.382744 ,    0
0.386816 ,    0
0.390887 ,    0
0.394959 ,    0
0.399031 ,    0
0.403103 ,    0
0.407174 ,    0
0.411246 ,    0
0.415318 ,    0
0.419389 ,    0
0.423461 ,    0
0.427533 ,    0
0.431605 ,    0
0.435676 ,    0
0.439748 ,    0
0.443820 ,    0
0.447892 ,    0
0.451963 ,    0
0.456035 ,    0
0.460107 ,    0
0.464179 ,    0
0.468250 ,    0
0.472322 ,    0
0.476394 ,    0
0.480466 ,    0
0.484537 ,    0
0.488609 ,    0
0.492681 ,    0
0.496753 ,    0
0.500824 ,    0
0.504896 ,    0
0.508968 ,    0
0.513040 ,    0
0.517111 ,    0
0.521183 ,    0
0.525255 ,    0
0.529327 ,    0
0.533398 ,    0
0.537470 ,    0
0.541542 ,    0
0.545614 ,    0
0.549685 ,    0
0.553757 ,    0
0.557829 ,    0
0.561900 ,    0
0.565972 ,    0
0.570044 ,    0
0.574116 ,    0
0.578187 ,    0
0.582259 ,    0
0.586331 ,   38
0.590403 ,   42
0.594474 ,   45
0.598546 ,   42
0.602618 ,   42
0.606690 ,   40
0.610761 ,   44
0.614833 ,   41
0.618905 ,   38
0.622977 ,   37
0.627048 ,   42
0.631120 ,   44
0.635192 ,   42
0.639264 ,   45
0.643335 ,   47
0.647407 ,   42
0.651479 ,   42
0.655551 ,   42
0.659622 ,   41
0.663694 ,   46
0.667766 ,   53
0.671838 ,   29
0.675909 ,   58
0.679981 ,   44
0.684053 ,   41
0.688125 ,   42
0.692196 ,   47
0.696268 ,   35
0.700340 ,   38
0.704411 ,   59
0.708483 ,   40
0.712555 ,   51
0.716627 ,   47
0.720698 ,   30
0.724770 ,   31
0.728842 ,   42
0.732914 ,   37
0.736985 ,   54
0.741057 ,   48
0.745129 ,   33
0.749201 ,   43
0.753272 ,   44
0.757344 ,   43
0.761416 ,   42
0.765488 ,   45
0.769559 ,   49
0.773631 ,   48
0.777703 ,   38
0.781775 ,   46
0.785846 ,   51
0.789918 ,   43
0.793990 ,   45
0.798062 ,   41
0.802133 ,   57
0.806205 ,   41
0.810277 ,   37
0.814349 ,   31
0.818420 ,   40
0.822492 ,   49
0.826564 ,   56
0.830636 ,   37
0.834707 ,   46
0.838779 ,   50
0.842851 ,   47
0.846922 ,   55
0.850994 ,   57
0.855066 ,   38
0.859138 ,   32
0.863209 ,   44
0.867281 ,   45
0.871353 ,   47
0.875425 ,   38
0.879496 ,   44
0.883568 ,   45
0.887640 ,   45
0.891712 ,   44
0.895783 ,   44
0.899855 ,   35
0.903927 ,   48
0.907999 ,   54
0.912070 ,   42
0.916142 ,   45
0.920214 ,   48
0.924286 ,   34
0.928357 ,   32
0.932429 ,   33
0.936501 ,   47
0.940573 ,   41
0.944644 ,   37
0.948716 ,   34
0.952788 ,   41
0.956860 ,   47
0.960931 ,   38
0.965003 ,   35
0.969075 ,   45
0.973146 ,   36
0.977218 ,   35
0.981290 ,   47
0.985362 ,   41
0.989433 ,   42
0.993505 ,   44
0.997577 ,   44
1.001649 ,   32
1.005720 ,   35
1.009792 ,   37
1.013864 ,   46
1.017936 ,   42
1.022007 ,   47
1.026079 ,   31
1.030151 ,   50
1.034223 ,   33
1.038294 ,   39
1.042366 ,   38
1.046438 ,   46
1.050510 ,   45
1.054581 ,   47
1.058653 ,   43
1.062725 ,   27
1.066797 ,   46
1.070868 ,   38
1.074940 ,   47
1.079012 ,   33
1.083084 ,   48
1.087155 ,   41
1.091227 ,   37
1.095299 ,   39
1.099371 ,   43
1.103442 ,   39
1.107514 ,   40
1.111586 ,   32
1.115657 ,   38
1.119729 ,   36
1.123801 ,   39
1.127873 ,   39
1.131944 ,   39
1.136016 ,   27
1.140088 ,   49
1.144160 ,   45
1.148231 ,   43
1.152303 ,   38
1.156375 ,   50
1.160447 ,   52
1.164518 ,   33
1.168590 ,   38
1.172662 ,   38
1.176734 ,   41
1.180805 ,   43
1.184877 ,   37
1.188949 ,   49
1.193021 ,   46
1.197092 ,   43
1.201164 ,   29
1.205236 ,   37
1.209308 ,   36
1.213379 ,   48
1.217451 ,   46
1.221523 ,   36
1.225595 ,   31
1.229666 ,   33
1.233738 ,   30
1.237810 ,   48
1.241882 ,   40
1.245953 ,   45
1.250025 ,   43
1.254097 ,   43
1.258168 ,   47
1.262240 ,   47
1.266312 ,   48
1.270384 ,   33
1.274455 ,   29
1.278527 ,   36
1.282599 ,   44
1.286671 ,   45
1.290742 ,   37
1.294814 ,   34
1.298886 ,   34
1.302958 ,   39
1.307029 ,   38
1.311101 ,   43
1.315173 ,   48
1.319245 ,   48
1.323316 ,   26
