  Title : 8-trpl-1,01uw-20s
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-24
  Time : 14:14:59
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
0.000000 ,    0
0.004072 ,    0
0.008143 ,    0
0.012215 ,    0
0.016287 ,    0
0.020359 ,    0
0.024430 ,    0
0.028502 ,    0
0.032574 ,    0
0.036646 ,    0
0.040717 ,    0
0.044789 ,    0
0.048861 ,    0
0.052933 ,    0
0.057004 ,    0
0.061076 ,    0
0.065148 ,    0
0.069220 ,    0
0.073291 ,    0
0.077363 ,    0
0.081435 ,    0
0.085507 ,    0
0.089578 ,    0
0.093650 ,    0
0.097722 ,    0
0.101794 ,    0
0.105865 ,    0
0.109937 ,    0
0.114009 ,    0
0.118081 ,    0
0.122152 ,    0
0.126224 ,    0
0.130296 ,    0
0.134368 ,    0
0.138439 ,    0
0.142511 ,    0
0.146583 ,    0
0.150654 ,    0
0.154726 ,    0
0.158798 ,    0
0.162870 ,    0
0.166941 ,    0
0.171013 ,    0
0.175085 ,    0
0.179157 ,    0
0.183228 ,    0
0.187300 ,    0
0.191372 ,    0
0.195444 ,    0
0.199515 ,    0
0.203587 ,    0
0.207659 ,    0
0.211731 ,    0
0.215802 ,    0
0.219874 ,    0
0.223946 ,    0
0.228018 ,    0
0.232089 ,    0
0.236161 ,    0
0.240233 ,    0
0.244305 ,    0
0.248376 ,    0
0.252448 ,    0
0.256520 ,    0
0.260592 ,    0
0.264663 ,    0
0.268735 ,    0
0.272807 ,    0
0.276879 ,    0
0.280950 ,    0
0.285022 ,    0
0.289094 ,    0
0.293165 ,    0
0.297237 ,    0
0.301309 ,    0
0.305381 ,    0
0.309452 ,    0
0.313524 ,    0
0.317596 ,    0
0.321668 ,    0
0.325739 ,    0
0.329811 ,    0
0.333883 ,    0
0.337955 ,    0
0.342026 ,    0
0.346098 ,    0
0.350170 ,    0
0.354242 ,    0
0.358313 ,    0
0.362385 ,    0
0.366457 ,    0
0.370529 ,    0
0.374600 ,    0
0.378672 ,    0
0.382744 ,    0
0.386816 ,    0
0.390887 ,    0
0.394959 ,    0
0.399031 ,    0
0.403103 ,    0
0.407174 ,    0
0.411246 ,    0
0.415318 ,    0
0.419389 ,    0
0.423461 ,    0
0.427533 ,    0
0.431605 ,    0
0.435676 ,    0
0.439748 ,    0
0.443820 ,    0
0.447892 ,    0
0.451963 ,    0
0.456035 ,    0
0.460107 ,    0
0.464179 ,    0
0.468250 ,    0
0.472322 ,    0
0.476394 ,    0
0.480466 ,    0
0.484537 ,    0
0.488609 ,    0
0.492681 ,    0
0.496753 ,    0
0.500824 ,    0
0.504896 ,    0
0.508968 ,    0
0.513040 ,    0
0.517111 ,    0
0.521183 ,    0
0.525255 ,    0
0.529327 ,    0
0.533398 ,    0
0.537470 ,    0
0.541542 ,    0
0.545614 ,    0
0.549685 ,    0
0.553757 ,    0
0.557829 ,    0
0.561900 ,    0
0.565972 ,    0
0.570044 ,    0
0.574116 ,    0
0.578187 ,    0
0.582259 ,    0
0.586331 ,  114
0.590403 ,  103
0.594474 ,  106
0.598546 ,  111
0.602618 ,   98
0.606690 ,  102
0.610761 ,  122
0.614833 ,  108
0.618905 ,  105
0.622977 ,   98
0.627048 ,  114
0.631120 ,  102
0.635192 ,  108
0.639264 ,  112
0.643335 ,   98
0.647407 ,   99
0.651479 ,  111
0.655551 ,   96
0.659622 ,  118
0.663694 ,   88
0.667766 ,  110
0.671838 ,  110
0.675909 ,  109
0.679981 ,  107
0.684053 ,  111
0.688125 ,  132
0.692196 ,  110
0.696268 ,   98
0.700340 ,   98
0.704411 ,   96
0.708483 ,  103
0.712555 ,   91
0.716627 ,  107
0.720698 ,  110
0.724770 ,   99
0.728842 ,  106
0.732914 ,  116
0.736985 ,   87
0.741057 ,  107
0.745129 ,  109
0.749201 ,  102
0.753272 ,   83
0.757344 ,   87
0.761416 ,   90
0.765488 ,  108
0.769559 ,   87
0.773631 ,   81
0.777703 ,   92
0.781775 ,  110
0.785846 ,   95
0.789918 ,   99
0.793990 ,  108
0.798062 ,  118
0.802133 ,  112
0.806205 ,  109
0.810277 ,  121
0.814349 ,   98
0.818420 ,  130
0.822492 ,  101
0.826564 ,  115
0.830636 ,  103
0.834707 ,   97
0.838779 ,   95
0.842851 ,  116
0.846922 ,  109
0.850994 ,  119
0.855066 ,  118
0.859138 ,  102
0.863209 ,  107
0.867281 ,  104
0.871353 ,  101
0.875425 ,  108
0.879496 ,   94
0.883568 ,  123
0.887640 ,   94
0.891712 ,  101
0.895783 ,  107
0.899855 ,  118
0.903927 ,  104
0.907999 ,  116
0.912070 ,  106
0.916142 ,  113
0.920214 ,  121
0.924286 ,  114
0.928357 ,  104
0.932429 ,  112
0.936501 ,   88
0.940573 ,   79
0.944644 ,  131
0.948716 ,   93
0.952788 ,  105
0.956860 ,  105
0.960931 ,  106
0.965003 ,  108
0.969075 ,  100
0.973146 ,   91
0.977218 ,   98
0.981290 ,  102
0.985362 ,   95
0.989433 ,   94
0.993505 ,  109
0.997577 ,  115
1.001649 ,   96
1.005720 ,   94
1.009792 ,   97
1.013864 ,  105
1.017936 ,   80
1.022007 ,  102
1.026079 ,   90
1.030151 ,  105
1.034223 ,  102
1.038294 ,   99
1.042366 ,  104
1.046438 ,   95
1.050510 ,   82
1.054581 ,  111
1.058653 ,   84
1.062725 ,  109
1.066797 ,   97
1.070868 ,  105
1.074940 ,  104
1.079012 ,   76
1.083084 ,  118
1.087155 ,  100
1.091227 ,  109
1.095299 ,  109
1.099371 ,  102
1.103442 ,  111
1.107514 ,  108
1.111586 ,   98
1.115657 ,   83
1.119729 ,  103
1.123801 ,  109
1.127873 ,   96
1.131944 ,  113
1.136016 ,   83
1.140088 ,   83
1.144160 ,  107
1.148231 ,   84
1.152303 ,  107
1.156375 ,   90
1.160447 ,   99
1.164518 ,  110
1.168590 ,  100
1.172662 ,  107
1.176734 ,  111
1.180805 ,  100
1.184877 ,   88
1.188949 ,  100
1.193021 ,  106
1.197092 ,   99
1.201164 ,  112
1.205236 ,   91
1.209308 ,  102
1.213379 ,  109
1.217451 ,  103
1.221523 ,   92
1.225595 ,  107
1.229666 ,   98
1.233738 ,  103
1.237810 ,  107
1.241882 ,  102
1.245953 ,   84
1.250025 ,  105
1.254097 ,  103
1.258168 ,  107
1.262240 ,   98
1.266312 ,  102
1.270384 ,  119
1.274455 ,  102
1.278527 ,   97
1.282599 ,  113
1.286671 ,   86
1.290742 ,  103
1.294814 ,   92
1.298886 ,  107
1.302958 ,   91
1.307029 ,  105
1.311101 ,   87
1.315173 ,   86
1.319245 ,   95
1.323316 ,  103
