k1_ann,1458304868.6784115 
k1_dis,19894149659.3751 
k1_rec,601229.383259958 
cs1,0.2 
k2_ann,166960507.5606079 
k2_dis,1162173691.668682 
k2_rec,10995.135196867943 
cs2,0.2 
k_xtr,9859539914.304173 
k_etr,0 
k_htr,0 
Model type,Hetero 
No. of DE Evaluations,11356 
No. of DE Iterations,107 
k1_ann_bounds,100000000.0, 20000000000.0 
k1_dis_bounds,100000000.0, 20000000000.0 
k1_rec_bounds,1000.0, 10000000.0 
k2_ann_bounds,100000000.0, 9000000000.0 
k2_dis_bounds,100000000.0, 20000000000.0 
k2_rec_bounds,1000.0, 10000000.0 
k_xtr_bounds,10000000.0, 10000000000.0 
comparison,log 
absolute,True 
time_limits,None 
norm_comp,True 
roll_criterion,max 
